
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      17      13 ]      0.185912   -0.003336723  0.9440        0.0289         690800 |               F
       2     [      17      13 ]      0.185912   -0.003336723  0.9440        0.0363        1429200 |               F
       3     [      10      18 ]      0.180022   -0.002028271  1.0000        0.0411        2598000 |               F
       4     [      10      18 ]      0.180022   -0.002028271  1.0000        0.0442        3321600 |               F
       5     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0462        4142800 |               F
       6     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0475        4769600 |               F
       7     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0484        5574800 |               F
       8     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0490        6405600 |               F
       9     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0493        6405600 |               F
       9     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0493        7032400 |               F
      10     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0496        7733200 |               F
      11     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0497        8360000 |               F
      12     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0498        8986800 |               F
      13     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0499        9792000 |               F
      14     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0499       10889600 |               F
      15     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0499       11619600 |               F
      16     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0500       12230800 |               F
      17     [       8      18 ]      0.180004   -0.000061189  0.9417        0.0500       12932000 |               F
      18     [      10      18 ]      0.184841   -0.001810644  0.9828        0.0500       14864800 |               F
      19     [      10      18 ]      0.184841   -0.001810644  0.9828        0.0500       16550800 |               F
      20     [      10      18 ]      0.184841   -0.001810644  0.9828        0.0500       17549200 |               F
      21     [      10      18 ]      0.184841   -0.001810644  0.9828        0.0500       18580800 |               F
      22     [      10      18 ]      0.184841   -0.001810644  0.9828        0.0500       19915200 |               F
      23     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       21139600 |               F
      24     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       22759200 |               F
      25     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       24735200 |               F
      26     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       26354800 |               F
      27     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       27910800 |               F
      28     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       30360800 |               F
      29     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       31916800 |               F
      30     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       33836800 |               F
      31     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       35788400 |               F
      32     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       38706800 |               F
      33     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       41173600 |               F
      34     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       42824400 |               F
      35     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       45732800 |               F
      36     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       48183200 |               F
      37     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       50525600 |               F
