
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      17      13 ]      0.185912   -0.003336723  0.9440   5400                                                                                                 690800 |              F
       2   [      30       6 ]      0.375398   -0.005213695  0.9385   5400   [      17      13 ]      0.185912   -0.003336723  0.9440     5400       1    1429200 |              F
       3   [      10      18 ]      0.180022   -0.002028271  1.0000   5400   [      17      13 ]      0.185912   -0.003336723  0.9440     5400       1    2598000 |              F
       4   [      17      13 ]      0.185912   -0.003336723  0.9440   5400   [      10      18 ]      0.180022   -0.002028271  1.0000     5400       1    3321600 |              F
       5   [       8      18 ]      0.180004   -0.000061189  0.9417   5400   [      10      18 ]      0.180022   -0.002028271  1.0000     5400       1    4142800 |              F
       6   [      14      15 ]      0.180693   -0.000585200  0.9418   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    4769600 |              F
       7   [       8      18 ]      0.180004   -0.000061189  0.9417   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    5574800 |              F
       8   [       8      18 ]      0.180004   -0.000061189  0.9417   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    6405600 |              F
       9                  NONE                                                               [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    6405600 |                                          -
       9   [      14      15 ]      0.180693   -0.000585200  0.9418   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    7032400 |              F
      10   [      17      13 ]      0.185912   -0.003336723  0.9440   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    7733200 |              F
      11   [      14      15 ]      0.180693   -0.000585200  0.9418   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    8360000 |              F
      12   [      14      15 ]      0.180693   -0.000585200  0.9418   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    8986800 |              F
      13   [       8      18 ]      0.180004   -0.000061189  0.9417   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    9792000 |              F
      14   [      28       7 ]      0.328017   -0.001886067  0.9383   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1   10889600 |              F
      15   [      17      13 ]      0.185912   -0.003336723  0.9440   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1   11619600 |              F
      16   [      17      13 ]      0.185912   -0.003336723  0.9440   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1   12230800 |              F
      17   [      17      13 ]      0.185912   -0.003336723  0.9440   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1   12932000 |              F
      18   [      10      18 ]      0.184841   -0.001810644  0.9828  16200   [       8      18 ]      0.184844   -0.000814461  0.9672    16200       1   14864800 |              F
      19   [      10      18 ]      0.184841   -0.001810644  0.9828  16200   [      10      18 ]      0.184841   -0.001810644  0.9828    16200       1   16550800 |              F
      20   [      17      13 ]      0.193682   -0.005486919  0.9578  16200   [      10      18 ]      0.184841   -0.001810644  0.9828    16200       1   17549200 |              F
      21   [      17      13 ]      0.193682   -0.005486919  0.9578  16200   [      10      18 ]      0.184841   -0.001810644  0.9828    16200       1   18580800 |              F
      22   [      28       7 ]      0.354746   -0.000487701  0.9478  16200   [      10      18 ]      0.184841   -0.001810644  0.9828    16200       1   19915200 |              F
      23   [      44       0 ]      1.000000  -10.000000000  1.0000  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   21139600 |              F
      24   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   22759200 |              F
      25   [      28       7 ]      0.350521   -0.000005637  0.9568  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   24735200 |              F
      26   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   26354800 |              F
      27   [      28       7 ]      0.350521   -0.000005637  0.9568  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   27910800 |              F
      28   [      10      18 ]      0.180079   -0.000106522  0.9627  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   30360800 |              F
