
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13      15 ]      0.301390   -0.000000000  1.0000        0.0289         563600 |               F
       2     [      13      15 ]      0.301390   -0.000000000  1.0000        0.0363        1134800 |               F
       3     [      13      15 ]      0.298660   -0.001851852  1.0000        0.0411        2028000 |               F
       4     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0442        2797200 |               F
       5     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0462        3381600 |               F
       6     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0475        4113200 |               F
       7     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0484        4113200 |               F
       7     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0484        4681200 |               F
       8     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0490        5590000 |               F
       9     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0493        5590000 |               F
       9     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0493        6332400 |               F
      10     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0496        7114800 |               F
      11     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0497        7891600 |               F
      12     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0498        7891600 |               F
      12     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0498        8546800 |               F
      13     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0499        9292800 |               F
      14     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0499        9292800 |               F
      14     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0499        9292800 |               F
      14     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0499       10076000 |               F
      15     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0499       10812400 |               F
      16     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       10812400 |               F
      16     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       11539600 |               F
      17     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       12308400 |               F
      18     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       13050800 |               F
      19     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       13783600 |               F
      20     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       14463200 |               F
      21     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       15188400 |               F
      22     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       16090800 |               F
      23     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       16873600 |               F
      24     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       17581200 |               F
      25     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       18289600 |               F
      26     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       19058400 |               F
      27     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       21250000 |               F
      28     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       23191600 |               F
      29     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       23191600 |               F
      29     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       25121200 |               F
      30     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       26405600 |               F
      31     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       26405600 |               F
      31     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       27588400 |               F
      32     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       28630400 |               F
      33     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       29652800 |               F
      34     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       30658000 |               F
      35     [      18      14 ]      0.309362   -0.000126634  0.9506        0.0500       31631600 |               F
      36     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       32852400 |               F
      37     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       34130400 |               F
      38     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       35442000 |               F
      39     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       36675200 |               F
      40     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       37908400 |               F
      41     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       40016000 |               F
      42     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       43343600 |               F
      43     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       46677200 |               F
      44     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       48806800 |               F
      45     [      13      16 ]      0.300476   -0.000867725  1.0000        0.0500       50031200 |               F
