
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      19      13 ]      0.298815   -0.000035642  0.9393   5400                                                                                                 810400 |              F
       2   [      37       3 ]      0.611353   -0.023551887  0.9452   5400   [      19      13 ]      0.298815   -0.000035642  0.9393     5400       1    1505600 |              F
       3   [      13      15 ]      0.298660   -0.001851852  1.0000   5400   [      19      13 ]      0.298815   -0.000035642  0.9393     5400       1    2144000 |              F
       4   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      13      15 ]      0.298660   -0.001851852  1.0000     5400       1    2875600 |              F
       5   [      13      15 ]      0.298660   -0.001851852  1.0000   5400   [      13      15 ]      0.298660   -0.001851852  1.0000     5400       1    3614800 |              F
       6   [      16      15 ]      0.298638   -0.001851852  1.0000   5400   [      13      15 ]      0.298660   -0.001851852  1.0000     5400       1    4406000 |              F
       7   [      13      15 ]      0.298660   -0.001851852  1.0000   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    5038800 |              F
       8   [      10      19 ]      0.300374   -0.000600120  0.9483   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    5774000 |              F
       9                  NONE                                                               [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    5774000 |                                          -
       9   [      10      19 ]      0.300374   -0.000600120  0.9483   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    6724400 |              F
      10   [      16      15 ]      0.298638   -0.001851852  1.0000   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    7515600 |              F
      11   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    8192400 |              F
      12   [      16      15 ]      0.298638   -0.001851852  1.0000   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    8998800 |              F
      13   [      16      15 ]      0.298638   -0.001851852  1.0000   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1    9805200 |              F
      14   [      10      19 ]      0.300374   -0.000600120  0.9483   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   10513200 |              F
      15   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   11326400 |              F
      16   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   12217200 |              F
      17   [      16      15 ]      0.298638   -0.001851852  1.0000   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   13019200 |              F
      18   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   13750000 |              F
      19   [      10      19 ]      0.300374   -0.000600120  0.9483   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   14429600 |              F
      20   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   15106400 |              F
      21   [      10      19 ]      0.300374   -0.000600120  0.9483   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   15786000 |              F
      22   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   16676800 |              F
      23   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   17441600 |              F
      24   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   18142000 |              F
      25   [      37       3 ]      0.611353   -0.023551887  0.9452   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   18837200 |              F
      26   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   19739600 |              F
      27   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   20522400 |              F
      28   [      22      11 ]      0.303855   -0.000042065  0.9380   5400   [      16      15 ]      0.298638   -0.001851852  1.0000     5400       1   21425600 |              F
