
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.5486              9 |                                            -
       1     [       6       7       7      11 ]     20.000000   -0.004696962  0.9038        0.5486            540 |     20.000000    5.770822789               I
       2     [       6       7       7      11 ]     20.000000   -0.004696962  0.9038        0.6891            549 |     20.000000    5.770822789               I
       2     [       6       7       7      11 ]     20.000000   -0.005983512  0.9228        0.6891           3032 |     20.000000    5.770822789               I
       3     [       6       7       7      11 ]     20.000000   -0.005983512  0.9228        0.7804           3041 |     20.000000    5.770822789               I
       3     [       6       7       7      11 ]     20.000000   -0.003234974  0.9159        0.7804           5908 |     20.000000    5.770822789               I
       4     [       6       7       7      11 ]     20.000000   -0.003234974  0.9159        0.8398           5917 |     20.000000    5.770822789               I
       4     [       6       7       7      11 ]     20.000000   -0.003234974  0.9159        0.8398           5926 |     20.000000    5.770822789               I
       4     [       6       7       7      11 ]     20.000000   -0.003234974  0.9159        0.8398           5935 |     20.000000    5.770822789               I
       4     [       6       7       7      11 ]     20.000000   -0.006284264  0.9505        0.8398          10104 |     20.000000    5.770822789               I
       5     [       6       7       7      11 ]     20.000000   -0.006284264  0.9505        0.8784          10113 |     20.000000    5.770822789               I
       5     [       6       7       7      11 ]     20.000000   -0.006284264  0.9505        0.8784          10122 |     20.000000    5.770822789               I
       5     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.8784          16147 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16156 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16165 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16174 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16183 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16192 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16201 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          16210 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          17399 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          17408 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.023963597  1.0000        0.9034          17417 |     21.000000    5.803126505               L
       6     [       8       7       6       4 ]     21.000000   -0.022116702  1.0000        0.9034          25317 |     21.000000    5.803126505               L
