
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0289         588400 |               F
       2     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0363        2066400 |               F
       3     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0411        2953600 |               F
       4     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0442        5376800 |               F
       5     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0462        6406800 |               F
       6     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0475        8830000 |               F
       7     [      13      15 ]      0.022848   -0.003473123  0.9439        0.0484        9735600 |               F
       8     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0490       11537600 |               F
       9     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0493       13027600 |               F
      10     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0496       14473600 |               F
      11     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0497       14473600 |               F
      11     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0497       15863200 |               F
      12     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0498       16966400 |               F
      13     [       7      18 ]      0.013898   -0.001308537  0.9578        0.0499       18069600 |               F
      14     [       5      19 ]      0.013236   -0.000807640  0.9579        0.0499       19383200 |               F
      15     [       5      19 ]      0.013236   -0.000807640  0.9579        0.0499       20966400 |               F
      16     [       5      19 ]      0.013236   -0.000807640  0.9579        0.0500       22546800 |               F
      17     [       5      19 ]      0.013236   -0.000807640  0.9579        0.0500       23611600 |               F
      18     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       24868000 |               F
      19     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       26295600 |               F
      20     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       27598400 |               F
      21     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       29044400 |               F
      22     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       30355600 |               F
      23     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       31758800 |               F
      24     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       33306400 |               F
      25     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       34696000 |               F
      26     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       36078800 |               F
      27     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       37416400 |               F
      28     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       40357200 |               F
      29     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       41763600 |               F
      30     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       43230800 |               F
      31     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       44851600 |               F
      32     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       46539600 |               F
      33     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       47877200 |               F
      34     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       49562800 |               F
      35     [       3      20 ]      0.012989   -0.000552764  0.9579        0.0500       51073200 |               F
