
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0289        1836000 |               F
       2     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0363        4184000 |               F
       3     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0411        5222000 |               F
       4     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0442        5966000 |               F
       5     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0462        6672000 |               F
       6     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0475        7766000 |               F
       7     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0484        8860000 |               F
       8     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0490        9988000 |               F
       9     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0493       11210000 |               F
      10     [       9      18 ]      0.160860   -0.000212010  0.9438        0.0496       12602000 |               F
      11     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0497       13302000 |               F
      12     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0498       14956000 |               F
      13     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0499       16672000 |               F
      14     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0499       19496000 |               F
      15     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0499       19496000 |               F
      15     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0499       21066000 |               F
      16     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       22750000 |               F
      17     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       22958000 |               F
      18     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       24528000 |               F
      19     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       26098000 |               F
      20     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       27702000 |               F
      21     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       30526000 |               F
      22     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       32058000 |               F
      23     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       32058000 |               F
      23     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       33678000 |               F
      24     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       33930000 |               F
      25     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       33930000 |               F
      25     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       36198000 |               F
      26     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       37890000 |               F
      27     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       39722000 |               F
      28     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       40978000 |               F
      29     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       43278000 |               F
      30     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       43278000 |               F
      30     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       44994000 |               F
      31     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       44994000 |               F
      31     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       46660000 |               F
      32     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       48376000 |               F
      33     [       9      18 ]      0.160369   -0.000131050  0.9546        0.0500       50582000 |               F
