
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        4033600 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8177600 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       12123600 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       12123600 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       12123600 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       12123600 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       12123600 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       16135600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       16135600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       16135600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       16135600 |               F
       5     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0462       20228800 |               F
       6     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0475       24298000 |               F
       7     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0484       28374800 |               F
       8     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0490       32468000 |               F
