
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1                 NONE                                                                0.0289              0 |                                            -
       1                 NONE                                                                0.0289              0 |                                            -
       1     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0289        3967600 |               F
       2     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0363        8130800 |               F
       3     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0411       12098400 |               F
       4     [      14       3 ]      0.172594   -0.000124310  0.9572        0.0442       16110400 |               F
       5     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0462       18865200 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       18865200 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       18865200 |               F
       6     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0475       22877200 |               F
       7     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0484       25632000 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       25632000 |               F
       8     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0490       29230800 |               F
       9     [      12       4 ]      0.171921   -0.000229178  0.9677        0.0493       32928400 |               F
