
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      13       3 ]      0.171396   -0.000533618  0.9663        0.0289        2449600 |               F
       2     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0363        8284000 |               F
       3     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0411       13033600 |               F
       4     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0442       17778800 |               F
       5     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0462       21254000 |               F
       6     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0475       24730000 |               F
       7     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0484       29593600 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       29593600 |               F
       8     [      12       4 ]      0.170983   -0.000033902  0.9600        0.0490       34375200 |               F
