
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      16       1 ]      0.208856   -0.000130555  0.9480        0.0289        1201600 |               F
       2     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0363        3056400 |               F
       3     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0411        3056400 |               F
       3     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0411        4258000 |               F
       4     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0442        4258000 |               F
       4     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0442        4394800 |               F
       5     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0462        4394800 |               F
       5     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0462        4394800 |               F
       5     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0462        4394800 |               F
       5     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0462        6372000 |               F
       6     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0475        6372000 |               F
       6     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0475        8187200 |               F
       7     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0484        8324000 |               F
       8     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0490        9524400 |               F
       9     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0493       11358800 |               F
      10     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0496       11358800 |               F
      10     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0496       13540000 |               F
      11     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0497       15454800 |               F
      12     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0498       17631200 |               F
      13     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0499       18830400 |               F
      14     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0499       20664800 |               F
      15     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0499       20664800 |               F
      15     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0499       20664800 |               F
      15     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0499       22480000 |               F
      16     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       22480000 |               F
      16     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       24307200 |               F
      17     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       24307200 |               F
      17     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       25506400 |               F
      18     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       26708000 |               F
      19     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       28884400 |               F
      20     [      12       4 ]      0.171323   -0.000420609  0.9703        0.0500       31060800 |               F
