
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      11      18 ]      0.372554   -0.218083079  0.9318        0.0289         257400 |               F
       2     [      11      18 ]      0.372554   -0.218083079  0.9318        0.0363         442200 |               F
       3     [      11      18 ]      0.372554   -0.218083079  0.9318        0.0411         587400 |               F
       4     [      11      18 ]      0.360583   -0.045591430  0.9395        0.0442        1245000 |               F
       5     [      11      18 ]      0.360583   -0.045591430  0.9395        0.0462        1425000 |               F
       6     [      11      18 ]      0.360583   -0.045591430  0.9395        0.0475        1874000 |               F
       7     [      11      18 ]      0.360583   -0.045591430  0.9395        0.0484        2424000 |               F
       8     [      11      18 ]      0.360583   -0.045591430  0.9395        0.0490        4412400 |               F
       9     [       3      23 ]      0.298501   -6.164064756  0.9982        0.0493        4912400 |               F
      10     [       3      23 ]      0.298501   -6.164064756  0.9982        0.0496        5826600 |               F
      11     [       3      23 ]      0.298501   -6.164064756  0.9982        0.0497        6567000 |               F
      12     [       3      23 ]      0.298501   -6.164064756  0.9982        0.0498        6567000 |               F
      12     [       4      22 ]      0.275641   -0.578844882  0.9516        0.0498        7505600 |               F
      13     [       4      22 ]      0.275641   -0.578844882  0.9516        0.0499        8012000 |               F
      14     [       4      22 ]      0.275641   -0.578844882  0.9516        0.0499        8810800 |               F
      15     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0499       10518200 |               F
      16     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       11069600 |               F
      17     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       11902600 |               F
      18     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       13704200 |               F
      19     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       16995400 |               F
      20     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       16995400 |               F
      20     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       18356000 |               F
      21     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       19705000 |               F
      22     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       21562600 |               F
      23     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       23667200 |               F
      24     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       25004600 |               F
      25     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       26694200 |               F
      26     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       29342000 |               F
      27     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       32053400 |               F
      28     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       34612200 |               F
      29     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       36401000 |               F
      30     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       38739200 |               F
      31     [       4      22 ]      0.280312   -0.041431121  0.9504        0.0500       40930000 |               F
      32     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       51599200 |               F
      33     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       60606400 |               F
      34     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       64183800 |               F
      35     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       74853800 |               F
      36     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       78649600 |               F
      37     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       84096600 |               F
      38     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       89912000 |               F
      39     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500       96396000 |               F
      40     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      107904600 |               F
      41     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      107904600 |               F
      41     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      114303200 |               F
      42     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      123592600 |               F
      43     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      130497800 |               F
      44     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      137812400 |               F
      45     [       4      22 ]      0.284945   -0.000064986  0.9577        0.0500      151635000 |               F
      46     [       4      22 ]      0.286893   -0.000422090  0.9658        0.0500      170170200 |               F
      47     [       4      22 ]      0.286893   -0.000422090  0.9658        0.0500      215724800 |               F
