
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      11      18 ]      0.372554   -0.218083079  0.9318   2000                                                                                                 257400 |              F
       2   [      16      15 ]      0.436865   -0.064588004  0.9293   2000   [      11      18 ]      0.372554   -0.218083079  0.9318     2000       1     442200 |              F
       3   [      22      12 ]      0.509837   -0.043561085  0.9290   2000   [      11      18 ]      0.372554   -0.218083079  0.9318     2000       1     587400 |              F
       4   [      26      10 ]      0.547765   -0.184570603  0.9446   6000   [      11      18 ]      0.360583   -0.045591430  0.9395     6000       1    1245000 |              F
       5   [      19      14 ]      0.449609   -3.818781494  0.9975   6000   [      11      18 ]      0.360583   -0.045591430  0.9395     6000       1    1425000 |              F
       6   [      14      16 ]      0.396121   -0.034156732  0.9405   6000   [      11      18 ]      0.360583   -0.045591430  0.9395     6000       1    1874000 |              F
       7   [      25      10 ]      0.552901   -0.023423354  0.9391   6000   [      11      18 ]      0.360583   -0.045591430  0.9395     6000       1    2424000 |              F
       8   [      19      14 ]      0.449843   -0.146571948  0.9430   6000   [      11      18 ]      0.360583   -0.045591430  0.9395     6000       1    4412400 |              F
       9   [       3      23 ]      0.298501   -6.164064756  0.9982   6000   [      11      18 ]      0.360583   -0.045591430  0.9395     6000       1    4912400 |              F
      10   [      15      16 ]      0.428529   -0.155801178  0.9431   6000   [       3      23 ]      0.298501   -6.164064756  0.9982     6000       1    5826600 |              F
      11   [      27       9 ]      0.600168   -0.765833592  0.9504   6000   [       3      23 ]      0.298501   -6.164064756  0.9982     6000       1    6567000 |              F
      12                  NONE                                                               [       3      23 ]      0.298501   -6.164064756  0.9982     6000       1    6567000 |                                          -
      12   [       4      22 ]      0.275641   -0.578844882  0.9516   6000   [       3      23 ]      0.298501   -6.164064756  0.9982     6000       1    7505600 |              F
      13   [      37       4 ]      0.785337   -0.095970304  0.9405   6000   [       4      22 ]      0.275641   -0.578844882  0.9516     6000       1    8012000 |              F
      14   [      26      10 ]      0.572524   -0.189649926  0.9419   6000   [       4      22 ]      0.275641   -0.578844882  0.9516     6000       1    8810800 |              F
      15   [       4      22 ]      0.280312   -0.041431121  0.9504  18000   [       4      22 ]      0.286496   -0.048928722  0.9503    18000       1   10518200 |              F
      16   [       6      21 ]      0.298501   -1.055868146  0.9774  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   11069600 |              F
      17   [      11      18 ]      0.359532   -0.004468191  0.9488  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   11902600 |              F
      18   [      39       3 ]      0.830946   -0.222948788  0.9524  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   13704200 |              F
      19   [      31       7 ]      0.657862   -0.088442117  0.9525  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   16995400 |              F
      20                  NONE                                                               [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   16995400 |                                          -
      20   [       4      22 ]      0.282298   -0.031648000  0.9499  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   18356000 |              F
      21   [      33       6 ]      0.697070   -0.029488046  0.9495  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   19705000 |              F
      22   [       7      20 ]      0.327932   -0.134596129  0.9511  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   21562600 |              F
      23   [      29       8 ]      0.629417   -0.006345744  0.9488  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   23667200 |              F
      24   [       4      22 ]      0.289427   -0.029161603  0.9495  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   25004600 |              F
      25   [      33       6 ]      0.692172   -0.021563302  0.9492  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   26694200 |              F
      26   [      16      15 ]      0.426475   -0.004644477  0.9488  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   29342000 |              F
      27   [       5      21 ]      0.299812   -0.003473530  0.9488  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   32053400 |              F
      28   [      29       8 ]      0.633048   -0.278791787  0.9631  18000   [       4      22 ]      0.280312   -0.041431121  0.9504    18000       1   34612200 |              F
