
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      31       7 ]      0.632708   -0.081160057  0.9496        0.0289        1141000 |               F
       2     [      11      18 ]      0.376712   -0.012663678  0.9493        0.0363        5400800 |               F
       3     [      11      18 ]      0.376712   -0.012663678  0.9493        0.0411        5400800 |               F
       3     [      11      18 ]      0.376712   -0.012663678  0.9493        0.0411        7703800 |               F
       4     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0442       11846800 |               F
       5     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0462       16912400 |               F
       6     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0475       21320000 |               F
       7     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0484       25820200 |               F
       8     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0490       30238000 |               F
       9     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0493       30238000 |               F
       9     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0493       30238000 |               F
       9     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0493       36655800 |               F
      10     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0496       42346000 |               F
      11     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0497       47206800 |               F
      12     [      11      18 ]      0.367951   -0.005035529  0.9661        0.0498       52318200 |               F
      13     [       7      20 ]      0.318981   -0.076878564  0.9699        0.0499       59833600 |               F
      14     [       7      20 ]      0.318981   -0.076878564  0.9699        0.0499       65311200 |               F
      15     [       7      20 ]      0.318981   -0.076878564  0.9699        0.0499       70001400 |               F
      16     [       7      20 ]      0.318981   -0.076878564  0.9699        0.0500       75144400 |               F
      17     [       7      20 ]      0.318981   -0.076878564  0.9699        0.0500       75144400 |               F
      17     [       4      22 ]      0.282250   -0.067674997  0.9686        0.0500       79202200 |               F
      18     [       4      22 ]      0.280813   -0.000467842  0.9658        0.0500       83341400 |               F
      19     [       4      22 ]      0.280813   -0.000467842  0.9658        0.0500       88011000 |               F
      20     [       4      22 ]      0.280813   -0.000467842  0.9658        0.0500       92965600 |               F
      21     [       4      22 ]      0.280302   -0.003092358  0.9659        0.0500       97259600 |               F
      22     [       4      22 ]      0.280302   -0.003092358  0.9659        0.0500      105150800 |               F
