
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0289        6150800 |               F
       2     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0363       12355600 |               F
       3     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0411       16024800 |               F
       4     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0442       19538800 |               F
       5     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0462       23265600 |               F
       6     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0475       23265600 |               F
       6     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0475       27075600 |               F
       7     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0484       27075600 |               F
       7     [       5       5 ]      0.200364   -0.003389724  0.9611        0.0484       30745600 |               F
