
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      11      18 ]      0.343402   -0.295932541  0.9501        0.0289         672800 |               F
       2     [      11      18 ]      0.343402   -0.295932541  0.9501        0.0363        1372200 |               F
       3     [      11      18 ]      0.343402   -0.295932541  0.9501        0.0411        2216200 |               F
       4     [      11      18 ]      0.343402   -0.295932541  0.9501        0.0442        3727200 |               F
       5     [      11      18 ]      0.370749   -0.033759871  0.9492        0.0462        5524400 |               F
       6     [      11      18 ]      0.370749   -0.033759871  0.9492        0.0475        7332400 |               F
       7     [      11      18 ]      0.370749   -0.033759871  0.9492        0.0484        9068400 |               F
       8     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0490       10500800 |               F
       9     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0493       13545400 |               F
      10     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0496       16602800 |               F
      11     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0497       16602800 |               F
      11     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0497       18719200 |               F
      12     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0498       20467200 |               F
      13     [       4      22 ]      0.281579   -0.004771406  0.9489        0.0499       22368000 |               F
      14     [       4      22 ]      0.286685   -0.029168531  0.9589        0.0499       27528400 |               F
      15     [       4      22 ]      0.286685   -0.029168531  0.9589        0.0499       33442000 |               F
      16     [       4      22 ]      0.286685   -0.029168531  0.9589        0.0500       36867000 |               F
      17     [       4      22 ]      0.286685   -0.029168531  0.9589        0.0500       40867400 |               F
      18     [       4      22 ]      0.286685   -0.029168531  0.9589        0.0500       46941200 |               F
      19     [       4      22 ]      0.286685   -0.029168531  0.9589        0.0500       46941200 |               F
      19     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       51142000 |               F
      20     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       57597000 |               F
      21     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       63439800 |               F
      22     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       78920000 |               F
      23     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       84118000 |               F
      24     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       89904800 |               F
      25     [       4      22 ]      0.281730   -0.006963488  0.9579        0.0500       97383400 |               F
      26     [       4      22 ]      0.282610   -0.061331844  0.9683        0.0500      117574400 |               F
