
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1                  NONE                                                                                                                                                               0 |                                          -
       1   [      35       4 ]      0.518515   -0.009978997  0.9392   5400                                                                                                1122800 |              F
       2   [      28       7 ]      0.328017   -0.001886067  0.9383   5400   [      35       4 ]      0.518515   -0.009978997  0.9392     5400       1    2170400 |              F
       3   [      28       7 ]      0.328017   -0.001886067  0.9383   5400   [      28       7 ]      0.328017   -0.001886067  0.9383     5400       1    2810400 |              F
       4   [      14      15 ]      0.180693   -0.000585200  0.9418   5400   [      28       7 ]      0.328017   -0.001886067  0.9383     5400       1    3462800 |              F
       5                  NONE                                                               [      14      15 ]      0.180693   -0.000585200  0.9418     5400       1    3462800 |                                          -
       5   [       8      18 ]      0.180004   -0.000061189  0.9417   5400   [      14      15 ]      0.180693   -0.000585200  0.9418     5400       1    4273600 |              F
       6   [      17      13 ]      0.185912   -0.003336723  0.9440   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    5015200 |              F
       7   [      35       4 ]      0.518515   -0.009978997  0.9392   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    6139200 |              F
       8   [      28       7 ]      0.328017   -0.001886067  0.9383   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    6823200 |              F
       9   [      28       7 ]      0.328017   -0.001886067  0.9383   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    7877200 |              F
      10   [      10      18 ]      0.180022   -0.002028271  1.0000   5400   [       8      18 ]      0.180004   -0.000061189  0.9417     5400       1    8469600 |              F
      11   [      44       0 ]      1.000000  -10.000000000  1.0000  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1    9742800 |              F
      12   [      45       0 ]      1.000000  -10.000000000  1.0000  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   10058000 |              F
      13   [      35       4 ]      0.528370   -0.005503729  0.9574  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   12060400 |              F
      14   [       8      18 ]      0.180134   -0.000572686  0.9805  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   13774000 |              F
      15   [       8      18 ]      0.180134   -0.000572686  0.9805  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   15390000 |              F
      16   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   16940400 |              F
      17   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   18430000 |              F
      18   [      28       7 ]      0.350521   -0.000005637  0.9568  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   20423600 |              F
      19   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   22014400 |              F
      20   [      28       7 ]      0.350521   -0.000005637  0.9568  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   23532800 |              F
      21   [      10      18 ]      0.180079   -0.000106522  0.9627  48600   [       8      18 ]      0.180134   -0.000572686  0.9805    48600       1   25988400 |              F
      22   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   27555600 |              F
      23   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   29128800 |              F
      24   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   30731200 |              F
      25   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   32254800 |              F
      26   [      10      18 ]      0.180079   -0.000106522  0.9627  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   34712000 |              F
      27   [      28       7 ]      0.350521   -0.000005637  0.9568  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   36705600 |              F
      28   [       8      18 ]      0.180134   -0.000572686  0.9805  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   38396800 |              F
      29   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   39998800 |              F
      30   [       8      18 ]      0.180134   -0.000572686  0.9805  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   41648800 |              F
      31   [      18      13 ]      0.191112   -0.000710508  0.9583  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   44537200 |              F
      32   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   46174800 |              F
      33   [      28       7 ]      0.350521   -0.000005637  0.9568  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   48162400 |              F
      34   [       8      18 ]      0.180134   -0.000572686  0.9805  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   49796800 |              F
      35   [      17      13 ]      0.191096   -0.000401866  0.9577  48600   [      10      18 ]      0.180079   -0.000106522  0.9627    48600       1   51405200 |              F
