
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      28       7 ]      0.328017   -0.001886067  0.9383        0.0289        1054000 |               F
       2     [      14      15 ]      0.180693   -0.000585200  0.9418        0.0363        1682000 |               F
       3     [      14      15 ]      0.180693   -0.000585200  0.9418        0.0411        1682000 |               F
       3     [      14      15 ]      0.180693   -0.000585200  0.9418        0.0411        2412000 |               F
       4     [      14      15 ]      0.182440   -0.000282209  0.9590        0.0442        3685200 |               F
       5     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0462        5091600 |               F
       6     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0475        7036000 |               F
       7     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0484        8554400 |               F
       8     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0490       10555200 |               F
       9     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0493       10555200 |               F
       9     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0493       12139600 |               F
      10     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0496       13666800 |               F
      11     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0497       15194000 |               F
      12     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0498       16709200 |               F
      13     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0499       18165600 |               F
      14     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0499       19672400 |               F
      15     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0499       19672400 |               F
      15     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0499       19672400 |               F
      15     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0499       19672400 |               F
      15     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0499       21263600 |               F
      16     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       22790800 |               F
      17     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       24312000 |               F
      18     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       26004800 |               F
      19     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       27974000 |               F
      20     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       29541600 |               F
      21     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       29541600 |               F
      21     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       31060000 |               F
      22     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       32578400 |               F
      23     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       32578400 |               F
      23     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       34579600 |               F
      24     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       36234800 |               F
      25     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       37843200 |               F
      26     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       39503600 |               F
      27     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       39503600 |               F
      27     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       41053600 |               F
      28     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       41053600 |               F
      28     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       43954000 |               F
      29     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       46430800 |               F
      30     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       46430800 |               F
      30     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       46430800 |               F
      30     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       46874400 |               F
      31     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       48818800 |               F
      32     [      10      18 ]      0.180079   -0.000106522  0.9627        0.0500       51285200 |               F
