
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      19      13 ]      0.298815   -0.000035642  0.9393        0.0289         810400 |               F
       2     [      19      13 ]      0.298815   -0.000035642  0.9393        0.0363        1505600 |               F
       3     [      13      15 ]      0.298660   -0.001851852  1.0000        0.0411        2144000 |               F
       4     [      13      15 ]      0.298660   -0.001851852  1.0000        0.0442        2875600 |               F
       5     [      13      15 ]      0.298660   -0.001851852  1.0000        0.0462        3614800 |               F
       6     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0475        4406000 |               F
       7     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0484        5038800 |               F
       8     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0490        5774000 |               F
       9     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0493        5774000 |               F
       9     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0493        6724400 |               F
      10     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0496        7515600 |               F
      11     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0497        8192400 |               F
      12     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0498        8998800 |               F
      13     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0499        9805200 |               F
      14     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0499       10513200 |               F
      15     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0499       11326400 |               F
      16     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       12217200 |               F
      17     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       13019200 |               F
      18     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       13750000 |               F
      19     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       14429600 |               F
      20     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       15106400 |               F
      21     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       15786000 |               F
      22     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       16676800 |               F
      23     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       17441600 |               F
      24     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       18142000 |               F
      25     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       18837200 |               F
      26     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       19739600 |               F
      27     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       20522400 |               F
      28     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       21425600 |               F
      29     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       22128400 |               F
      30     [      16      15 ]      0.298638   -0.001851852  1.0000        0.0500       22893200 |               F
      31     [      13      16 ]      0.298638   -0.001851852  1.0000        0.0500       23866800 |               F
      32     [      13      16 ]      0.298638   -0.001851852  1.0000        0.0500       24880000 |               F
      33     [      17      14 ]      0.298626   -0.001820336  1.0000        0.0500       25648800 |               F
      34     [      11      18 ]      0.309216   -0.000160365  0.9627        0.0500       29175600 |               F
      35     [      11      18 ]      0.309216   -0.000160365  0.9627        0.0500       30446800 |               F
      36     [      11      18 ]      0.309216   -0.000160365  0.9627        0.0500       32840400 |               F
      37     [      11      18 ]      0.309216   -0.000160365  0.9627        0.0500       36117200 |               F
      38     [      16      15 ]      0.309147   -0.000320271  0.9662        0.0500       37169600 |               F
      39     [      16      15 ]      0.309147   -0.000320271  0.9662        0.0500       37169600 |               F
      39     [      16      15 ]      0.309147   -0.000320271  0.9662        0.0500       38241200 |               F
      40     [      16      15 ]      0.309147   -0.000320271  0.9662        0.0500       41568000 |               F
      41     [      16      15 ]      0.309147   -0.000320271  0.9662        0.0500       41568000 |               F
      41     [      16      15 ]      0.309147   -0.000320271  0.9662        0.0500       42616000 |               F
      42     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       43852000 |               F
      43     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       45030000 |               F
      44     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       45030000 |               F
      44     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       46072000 |               F
      45     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       48000800 |               F
      46     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       49938000 |               F
      47     [      13      16 ]      0.309063   -0.000451783  1.0000        0.0500       51758400 |               F
