
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      44       4 ]      0.263985   -0.034844369  0.9299        0.0289         728000 |               F
       2     [      17      13 ]      0.030535   -0.005690757  0.9451        0.0363        1604000 |               F
       3     [      17      13 ]      0.030535   -0.005690757  0.9451        0.0411        2456000 |               F
       4     [      17      13 ]      0.030535   -0.005690757  0.9451        0.0442        3976000 |               F
       5     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0462        5416000 |               F
       6     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0475        6468000 |               F
       7     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0484        8836000 |               F
       8     [       9      17 ]      0.016595   -0.000565560  0.9502        0.0490       10268000 |               F
       9     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0493       11412000 |               F
      10     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0496       12784000 |               F
      11     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0497       13828000 |               F
      12     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0498       15024000 |               F
      13     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0499       16552000 |               F
      14     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0499       18344000 |               F
      15     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0499       19396000 |               F
      16     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0500       21416000 |               F
      17     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0500       22620000 |               F
      18     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0500       23584000 |               F
      19     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0500       25896000 |               F
      20     [       7      18 ]      0.014896   -0.000460683  0.9504        0.0500       25896000 |               F
      20     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       26928000 |               F
      21     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       29052000 |               F
      22     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       31556000 |               F
      23     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       33612000 |               F
      24     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       35640000 |               F
      25     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       37668000 |               F
      26     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       39724000 |               F
      27     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       40988000 |               F
      28     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       42360000 |               F
      29     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       44344000 |               F
      30     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       45400000 |               F
      31     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       47392000 |               F
      32     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       49592000 |               F
      33     [       5      19 ]      0.013838   -0.002514289  0.9616        0.0500       50916000 |               F
