
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      13      15 ]      0.017532   -0.012301685  0.9692   6000                                                                                                 668000 |              F
       2   [      13      15 ]      0.017532   -0.012301685  0.9692   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    1296000 |              F
       3   [      23      11 ]      0.053481   -0.002601148  0.9411   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    2784000 |              F
       4   [      28       9 ]      0.087457   -0.002391063  0.9402   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    4880000 |              F
       5   [      49       2 ]      0.423140   -0.035343820  0.9408   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    6080000 |              F
       6   [      35       7 ]      0.142416   -0.001600586  0.9392   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    7540000 |              F
       7   [      49       2 ]      0.423140   -0.035343820  0.9408   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    8748000 |              F
       8   [      32       8 ]      0.109563   -0.048538666  0.9639   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1    9452000 |              F
       9   [      44       4 ]      0.265235   -0.006213888  0.9396   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1   10576000 |              F
      10   [      23      11 ]      0.053481   -0.002601148  0.9411   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1   12096000 |              F
      11   [      35       7 ]      0.142416   -0.001600586  0.9392   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1   13628000 |              F
      12   [      32       8 ]      0.109563   -0.048538666  0.9639   6000   [      13      15 ]      0.017532   -0.012301685  0.9692     6000       1   14332000 |              F
      13   [      14      15 ]      0.023712   -0.004498216  0.9546  18000   [      13      15 ]      0.023717   -0.006235132  0.9568    18000       1   16412000 |              F
      14   [       9      17 ]      0.016595   -0.000565560  0.9502  18000   [      14      15 ]      0.023712   -0.004498216  0.9546    18000       1   17460000 |              F
      15   [      17      13 ]      0.039358   -0.000563740  0.9490  18000   [       9      17 ]      0.016595   -0.000565560  0.9502    18000       1   18500000 |              F
      16   [      44       4 ]      0.283697   -0.008939214  0.9491  18000   [       9      17 ]      0.016595   -0.000565560  0.9502    18000       1   19428000 |              F
      17   [      56       0 ]      1.000000  -11.000000000  1.0000  54000   [       9      17 ]      0.015926   -0.000375061  0.9599    54000       1   20820000 |              F
      18   [       7      18 ]      0.014326   -0.000277861  0.9605  54000   [       9      17 ]      0.015926   -0.000375061  0.9599    54000       1   22752000 |              F
      19   [      28       9 ]      0.105914   -0.004111888  0.9584  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   25800000 |              F
      20   [      35       7 ]      0.159518   -0.006260295  0.9588  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   28264000 |              F
      21   [      17      13 ]      0.038763   -0.001966910  0.9598  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   30000000 |              F
      22   [      23      11 ]      0.065470   -0.020546895  0.9672  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   31808000 |              F
      23   [      28       9 ]      0.105914   -0.004111888  0.9584  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   34912000 |              F
      24   [       9      17 ]      0.015926   -0.000375061  0.9599  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   36860000 |              F
      25   [      28       9 ]      0.105914   -0.004111888  0.9584  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   40032000 |              F
      26   [      21      12 ]      0.050837   -0.000156237  0.9578  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   41972000 |              F
      27   [      13      15 ]      0.022989   -0.000751635  0.9594  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   43640000 |              F
      28   [      23      11 ]      0.065470   -0.020546895  0.9672  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   45572000 |              F
      29   [      14      15 ]      0.022986   -0.000258208  0.9583  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   48276000 |              F
      30   [      23      11 ]      0.065470   -0.020546895  0.9672  54000   [       7      18 ]      0.014326   -0.000277861  0.9605    54000       1   50016000 |              F
