
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
 Restart                              Suggested           g_kr           f_kr    phat       alpha_r     Total Work |             g              f     Feasibility/
     No.                               Solution                                                                    |                                    Optimality
     (r)                                  (Z_r)                                                              (w_r) |
-------------------------------------------------------------------------------------------------------------------|----------------------------------------------
       1     [      12      15 ]      0.017153   -0.002695307  0.9454        0.0289         659800 |               F
       2     [      12      15 ]      0.017153   -0.002695307  0.9454        0.0363        1320600 |               F
       3     [      12      15 ]      0.017153   -0.002695307  0.9454        0.0411        1870400 |               F
       4     [      12      15 ]      0.017153   -0.002695307  0.9454        0.0442        2499800 |               F
       5     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0462        3923400 |               F
       6     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0475        4730200 |               F
       7     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0484        5386200 |               F
       8     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0490        5960800 |               F
       9     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0493        6808400 |               F
      10     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0496        7471200 |               F
      11     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0497        8225000 |               F
      12     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0498        8830000 |               F
      13     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0499        9526800 |               F
      14     [      12      16 ]      0.018343   -0.000255340  0.9481        0.0499        9681800 |               F
      15     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0499       10670200 |               F
      16     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       11909600 |               F
      17     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       12554200 |               F
      18     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       13663600 |               F
      19     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       13845800 |               F
      20     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       14970600 |               F
      21     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       16507200 |               F
      22     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       17495000 |               F
      23     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       19031600 |               F
      24     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       20139000 |               F
      25     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       20837600 |               F
      26     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       21638400 |               F
      27     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       22745800 |               F
      28     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       23797400 |               F
      29     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       24744200 |               F
      30     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       25546800 |               F
      31     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       26370600 |               F
      32     [       4      19 ]      0.013717   -0.000458676  0.9548        0.0500       27359800 |               F
      33     [       5      19 ]      0.013485   -0.000195510  0.9495        0.0500       28403600 |               F
      34     [       5      19 ]      0.013485   -0.000195510  0.9495        0.0500       29227400 |               F
      35     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       30203600 |               F
      36     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       31439800 |               F
      37     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       32292200 |               F
      38     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       33632800 |               F
      39     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       34435400 |               F
      40     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       35983000 |               F
      41     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       35983000 |               F
      41     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       37128800 |               F
      42     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       37324400 |               F
      43     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       38142200 |               F
      44     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       39008200 |               F
      45     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       39935800 |               F
      46     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       41173200 |               F
      47     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       42483000 |               F
      48     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       43485600 |               F
      49     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       44781800 |               F
      50     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       46313600 |               F
      51     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       46505400 |               F
      52     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       47561000 |               F
      53     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       48573200 |               F
      54     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       49694600 |               F
      55     [       3      20 ]      0.013447   -0.000474613  0.9537        0.0500       50799200 |               F
