
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
 Restart                             Suggested                                                                         Current                                                              Total |                                Feasibility/
     No.                              Solution                                                                            Best                                                               Work |                                  Optimality
       r                                   X_r            gk             fk    phat     mk                               Z_r-1             gk             fk     phat   mkprev              (w_r) |             g             f
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------X_r-------------------------------
       1   [      40       5 ]      0.215084   -0.074632371  0.9193    600                                                                                                 784000 |              F
       2   [      41       5 ]      0.215066   -0.007196282  0.9283   1800   [      40       5 ]      0.215084   -0.007196282  0.9283     1800       1    1607200 |              F
       3   [       5      19 ]      0.013651   -0.001391443  0.9532  16200   [      41       5 ]      0.229586   -0.141061657  0.9606    16200       1    2696200 |              F
       4   [      12      16 ]      0.018343   -0.000255340  0.9481  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    4108000 |              F
       5   [      26      10 ]      0.083183   -0.004918681  0.9484  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    4861800 |              F
       6   [      31       8 ]      0.133913   -0.003517999  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    5623800 |              F
       7   [       8      17 ]      0.016014   -0.002621229  0.9526  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    6703000 |              F
       8   [      32       8 ]      0.133926   -0.003517999  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    7425000 |              F
       9   [       8      17 ]      0.016014   -0.002621229  0.9526  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    8506400 |              F
      10   [      17      13 ]      0.038631   -0.001577840  0.9485  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    9425600 |              F
      11                  NONE                                                               [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1    9425600 |                                          -
      11   [      16      14 ]      0.030722   -0.000810840  0.9485  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   10008400 |              F
      12   [      23      11 ]      0.068043   -0.000503369  0.9479  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   11026800 |              F
      13   [      32       8 ]      0.135275   -0.004174121  0.9481  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   11769600 |              F
      14   [      23      11 ]      0.068043   -0.000503369  0.9479  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   12821000 |              F
      15   [      23      11 ]      0.068043   -0.000503369  0.9479  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   13876800 |              F
      16   [      29       9 ]      0.108534   -0.002071601  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   14573800 |              F
      17   [      12      16 ]      0.019370   -0.000946752  0.9491  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   15221800 |              F
      18   [      34       7 ]      0.162767   -0.016919670  0.9491  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   16570800 |              F
      19   [      20      12 ]      0.054056   -0.002844528  0.9487  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   17571200 |              F
      20   [      36       6 ]      0.191366   -0.002309074  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   18309200 |              F
      21   [      49       2 ]      0.428432   -0.123025166  0.9611  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   19356000 |              F
      22   [       7      18 ]      0.015125   -0.000632769  0.9495  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   20443400 |              F
      23   [      29       9 ]      0.108534   -0.002071601  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   21396200 |              F
      24   [      23      11 ]      0.068043   -0.000503369  0.9479  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   22416800 |              F
      25   [      36       6 ]      0.191366   -0.002309074  0.9480  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   23227800 |              F
      26   [       3      20 ]      0.013320   -0.001270541  0.9569  16200   [       5      19 ]      0.013651   -0.001391443  0.9532    16200       1   24212200 |              F
      27   [      41       5 ]      0.228000   -0.008170530  0.9485  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   25482000 |              F
      28   [      29       9 ]      0.108534   -0.002071601  0.9480  16200   [       3      20 ]      0.013320   -0.001270541  0.9569    16200       1   26242800 |              F
